REGIÃO;ESTADO;NOME;CODIGO;LATITUDE;LONGITUDE;ALTITUDE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CO;MS;COXIM;A720;-18.51222222;-54.7361111;251.48;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0082191780821917;0.1420765027322404;0.0;0.0027397260273972;0.0301369863013698;0.0;0.0027397260273972
N;PA;CAPITAO POCO;A248;-1.73472221;-47.0575;79.1;;;;;;;;;;;;0.0;0.0;0.0;0.0520547945205479;0.0;0.0710382513661202;0.2054794520547945;0.1945205479452054;0.0;0.0683060109289617;0.1643835616438356
NE;MA;SAO BENTO;S108;-2.7;-44.85;;;;;;;;;;;;;;;;;;0.0846994535519125;0.9643835616438357;0.9232876712328768;;;
N;AM;MAUES;A122;-3.39888888;-57.67388888;25.49;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0027397260273972;0.1561643835616438;0.6721311475409836;0.136986301369863;0.1315068493150684;0.2191780821917808;0.6038251366120219;1.0
N;RO;FORTE PRINCIPE;S101;-12.42999999;-64.41999999;;;;;;;;;;;;;;;;;;0.0846994535519125;1.0;0.8136986301369863;;;
S;PR;LARANJEIRAS DO SUL;B804;-25.36888888;-52.39194444;835.0;;;;;;;;;;;;;;;;;0.0027322404371584;0.0;0.021917808219178;0.0;0.0;0.1150684931506849
S;PR;MORRETES;A873;-25.508935;-48.808681;50.31;;;;;;;;;0.0027322404371584;0.0;0.021917808219178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0246575342465753;0.0;0.0;0.0493150684931506
CO;MS;RIO BRILHANTE;A743;-21.774944;-54.528108;324.31;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0082191780821917
NE;BA;MARAU;A438;-13.90694444;-38.97222221;6.24;;;;;;;;;0.0027322404371584;0.0;0.2794520547945205;0.0;0.0;0.0;0.0164383561643835;0.1616438356164383;0.1010928961748633;0.0;0.0;0.0;0.0;0.7643835616438356
SE;ES;VENDA NOVA DO IMIGRANTE;A633;-20.38555555;-41.18999999;722.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0273224043715847;0.0
CO;MT;GAUCHA DO NORTE;A930;-13.18472221;-53.2575;375.87;;;;;;;;;0.1994535519125683;0.0;0.0;0.0630136986301369;0.0;0.0;0.0054794520547945;0.0;0.1366120218579235;0.0;0.1205479452054794;0.1232876712328767;0.0191256830601092;0.7808219178082192
NE;SE;BREJO GRANDE;A421;-10.47388888;-36.48194443;6.11;;;;;;;;;0.0136612021857923;0.0;0.1397260273972602;0.2054794520547945;0.0300546448087431;0.0;0.0054794520547945;0.0;0.3497267759562841;0.0;0.0;0.0;0.3770491803278688;0.96986301369863
NE;MA;SAO LUIS;A203;-2.52666666;-44.21361111;54.8;;;;0.0273972602739726;0.0;0.0164383561643835;0.0493150684931506;0.2465753424657534;0.0027322404371584;0.010958904109589;0.0136986301369863;0.1424657534246575;0.0;0.0;0.0821917808219178;0.0;0.0;0.0027397260273972;0.0;0.0027397260273972;0.0;0.0
N;AP;PORTO GRANDE;A244;0.69416666;-51.40388888;84.8;;;;;;;;;;;;;;;;;;;;0.2767123287671232;0.0;0.3561643835616438
S;SC;RIO NEGRINHO;A862;-26.2486111;-49.57416666;800.0;;;;;;;;;0.0054644808743169;0.0082191780821917;0.0575342465753424;0.0465753424657534;0.0109289617486338;0.0;0.0;0.0027397260273972;0.0;0.0;0.1178082191780822;0.136986301369863;0.0;0.0
NE;BA;BOM JESUS DA LAPA;A418;-13.25111111;-43.40527777;447.75;;;;;;;;0.3342465753424657;0.1202185792349726;0.0;0.0;0.0;0.1721311475409836;0.0;0.0876712328767123;0.1041095890410958;0.0491803278688524;0.0;0.0;0.1506849315068493;0.0491803278688524;0.7561643835616438
CO;GO;RIO VERDE;A025;-17.78527777;-50.965;780.11;;;;;;;;0.0082191780821917;0.0054644808743169;0.0;0.0;0.0;0.0355191256830601;0.0;0.0520547945205479;0.0356164383561643;0.0519125683060109;0.0;0.0;0.0164383561643835;0.7814207650273224;0.4849315068493151
N;PA;SANTAREM;A250;-2.5025;-54.72027777;137.0;;;;;;;;;;;;;;;;0.0027397260273972;0.0;0.0301369863013698;0.0;0.0;0.9398907103825136;1.0
SE;SP;CRIOSFERA;C891;-84.0;-79.49416666;1285.0;;;;;;;;;;;;;;;;;;;;;0.0;
NE;BA;DELFINO;A443;-10.455;-41.20694444;646.24;;;;;;;;;0.0163934426229508;0.0;0.0;0.0;0.0;0.0054794520547945;0.0;0.0;0.0;0.0;0.1041095890410958;0.0;0.0054644808743169;1.0
S;RS;MOSTARDAS;A878;-31.24833333;-50.90638888;3.82;;;;;;;;;0.0109289617486338;0.0;0.0657534246575342;0.0657534246575342;0.0;0.0;0.0301369863013698;0.0054794520547945;0.0300546448087431;0.0;0.0;0.2904109589041095;0.5300546448087432;1.0
CO;MT;COTRIGUACU;A919;-9.90638888;-58.57222221;265.0;;;;;;;;0.0;0.0027322404371584;0.0;0.0;0.0;0.040983606557377;0.0;0.1287671232876712;0.0684931506849315;0.3715846994535519;0.0;0.0136986301369863;0.1643835616438356;0.7595628415300546;1.0
NE;BA;BELMONTE;A447;-16.08805555;-39.21527777;89.67;;;;;;;;;;0.0301369863013698;0.0;0.0;0.0437158469945355;0.0;0.0;0.0;0.0928961748633879;0.0;0.0082191780821917;0.2575342465753424;0.0382513661202185;0.96986301369863
S;RS;ENCRUZILHADA DO SUL;A893;-30.54305555;-52.52472221;427.75;;;;;;;;;;;;;;;;;;;0.0;0.0493150684931506;0.0;0.0082191780821917
N;PA;BRAGANCA;A226;-1.04722221;-46.78583333;41.0;;;;;;;;;0.0273224043715847;0.0;0.0;0.0986301369863013;0.2322404371584699;0.0;0.0;0.0;0.0136612021857923;0.0;0.0;0.0493150684931506;0.0;0.4657534246575342
N;AM;PEF YAUARETE;S115;0.59944444;-69.19194444;;;;;;;;;;;;;;;;;;0.0846994535519125;1.0;0.663013698630137;;;
SE;RJ;SEROPEDICA-ECOLOGIA AGRICOLA;A601;-22.75777777;-43.68472221;35.0;0.0794979079497908;0.1589041095890411;0.0794520547945205;0.0027397260273972;0.3169398907103825;0.0191780821917808;0.0027397260273972;0.0082191780821917;0.0027322404371584;0.0082191780821917;0.2328767123287671;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1068493150684931;0.0;0.0
S;RS;ERECHIM;A828;-27.65771;-52.305805;777.08;;;;;;;0.0054794520547945;0.0136986301369863;0.0;0.0;0.0;0.0;0.0;0.0;0.0465753424657534;0.0082191780821917;0.1311475409836065;0.0027397260273972;0.0027397260273972;0.0;0.0;0.0438356164383561
CO;MS;AMAMBAI;A750;-23.0025;-55.32944443;433.59;;;;;;;;;0.0027322404371584;0.0465753424657534;0.0054794520547945;0.0;0.0;0.0027397260273972;0.0931506849315068;0.0794520547945205;0.0956284153005464;0.0;0.0;0.0;0.1530054644808743;1.0
SE;MG;RIO PARDO DE MINAS;A551;-15.72305554;-42.43583333;850.06;;;;;;;;0.0054794520547945;0.0;0.0;0.0;0.0;0.1202185792349726;0.0;0.0;0.0;0.0;0.0027397260273972;0.0136986301369863;0.0;0.0;0.0
NE;MA;ZE DOCA;A255;-3.26916666;-45.65111111;45.5;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0657534246575342
NE;PI;TERESINA;A312;-5.03472221;-42.80138888;75.23;;;;;0.1038251366120218;0.4684931506849315;0.4273972602739726;0.6602739726027397;0.0054644808743169;0.0082191780821917;0.0;0.2904109589041095;0.0;0.1013698630136986;0.0684931506849315;0.0;0.0;0.0;0.0;0.0;0.0546448087431694;0.0191780821917808
